timestamp_index,predicted_direction,predict_price,exec_price,position
7223,0,106.74815045171162,107.69951721716164,88
7224,1,106.8206629320053,107.65594279558417,89
7225,1,106.73832617872336,107.70745370162692,90
7226,1,106.66795658409345,107.79390090593826,91
7227,0,106.65425977724502,107.82361167471724,90
7228,1,106.6119352453048,107.80820064330726,91
7229,1,106.61184413907247,107.79336016301234,92
7230,1,106.56106705083248,108.00130214968614,93
7231,1,106.59307107726548,107.9607090088346,94
7232,1,106.46433189756932,107.87909985264866,95
7233,1,106.651779488545,107.99462496060409,96
7234,1,106.5893251337078,107.9501774930388,97
7235,1,106.47197456514412,107.89335677894508,98
7236,0,106.4931791184981,107.86052769349442,97
7237,1,106.64767485639364,107.88968547197858,98
7238,1,106.78361951117893,107.85227846767452,99
7239,1,106.62756914691649,107.92068403093413,100
